Season_field_id;Image_date;Sensor_type;Image_id;LAI_mean
aj7qpn3;2020-04-26;SENTINEL_2;IKc73hpUQ6o6MWx9U3twc7GU2d5NrDVCtmdn6u1KWUm;2.3170855
aj7qpn3;2020-04-26;SENTINEL_2;IKc73hpUQ6o6MWx9U3twc7GU2d5NrDVAluY5cnQKpBE;2.319519
aj7qpn3;2020-04-23;SENTINEL_2;IKc73hpUQ6o4mXCyJFndOv569lzbyEIoHXpjFL9ceiS;2.1342752
aj7qpn3;2020-04-23;SENTINEL_2;IKc73hpUQ6o4mXCyJFndOv569lzbyEInDbmsVHr7o3g;2.1302934
aj7qpn3;2020-04-16;SENTINEL_2;IKc73hpUQ6o16dF6yPiPVJaBJwXa8oO0kD3IV63HrC0;2.0107086
aj7qpn3;2020-04-08;SENTINEL_2;IKc73hpUQ6nwtgb0kafxFUDxjMOjEIK1tKi9MHYKv0W;1.3151265
aj7qpn3;2020-03-27;SENTINEL_2;IKc73hpUQ6nqaqWWqz11bBDp3K6gCumATIznR9pMMlA;1.2297155
aj7qpn3;2020-03-27;SENTINEL_2;IKc73hpUQ6nqaqWWqz11bBDp3K6gCum9PMwwh6WrW6O;1.2249298
aj7qpn3;2020-03-24;SENTINEL_2;IKc73hpUQ6np0rFLc5MVGINGcImhzCeqb4AESqX1tfI;1.173423
aj7qpn3;2020-03-24;SENTINEL_2;IKc73hpUQ6np0rFLc5MVGINGcImhzCepB9R68m8MlSG;1.1700642
aj7qpn3;2020-03-22;SENTINEL_2;IKc73hpUQ6nnxtO6q0qz7ONZcgAhLkMqdOwgAfThpRs;1.3084351
aj7qpn3;2020-03-22;SENTINEL_2;IKc73hpUQ6nnxtO6q0qz7ONZcgAhLkMpDUDXqb52hEq;1.3119531
aj7qpn3;2020-03-17;SENTINEL_2;IKc73hpUQ6nlKyRz71OkYTDQP3lBJyRhxqZUFdJE2JY;1.0172249
aj7qpn3;2020-03-17;SENTINEL_2;IKc73hpUQ6nlKyRz71OkYTDQP3lBJyRhbrtCfcD3klI;1.0154926
aj7qpn3;2020-03-12;SENTINEL_2;IKc73hpUQ6nii154860odWhlFUwIdAUwbamncoJcTHI;0.89927673
aj7qpn3;2020-03-12;SENTINEL_2;IKc73hpUQ6nii154860odWhlFUwIdAUvXejwsl17ccW;0.90355605
mp2w57e;2020-04-26;SENTINEL_2;IKc73hpUQ6o6MWx9U3twc7GU2d5NrDVCtmdn6u1KWUm;1.3927215
mp2w57e;2020-04-26;SENTINEL_2;IKc73hpUQ6o6MWx9U3twc7GU2d5NrDVAluY5cnQKpBE;1.394388
mp2w57e;2020-04-23;SENTINEL_2;IKc73hpUQ6o4mXCyJFndOv569lzbyEIoHXpjFL9ceiS;1.277511
mp2w57e;2020-04-23;SENTINEL_2;IKc73hpUQ6o4mXCyJFndOv569lzbyEInDbmsVHr7o3g;1.2662536
mp2w57e;2020-04-16;SENTINEL_2;IKc73hpUQ6o16dF6yPiPVJaBJwXa8oO0kD3IV63HrC0;0.9865944
mp2w57e;2020-04-08;SENTINEL_2;IKc73hpUQ6nwtgb0kafxFUDxjMOjEIK1tKi9MHYKv0W;0.72042227
mp2w57e;2020-03-27;SENTINEL_2;IKc73hpUQ6nqaqWWqz11bBDp3K6gCumATIznR9pMMlA;0.69131035
mp2w57e;2020-03-27;SENTINEL_2;IKc73hpUQ6nqaqWWqz11bBDp3K6gCum9PMwwh6WrW6O;0.6874475
mp2w57e;2020-03-24;SENTINEL_2;IKc73hpUQ6np0rFLc5MVGINGcImhzCeqb4AESqX1tfI;0.6580933
mp2w57e;2020-03-24;SENTINEL_2;IKc73hpUQ6np0rFLc5MVGINGcImhzCepB9R68m8MlSG;0.6549701
mp2w57e;2020-03-22;SENTINEL_2;IKc73hpUQ6nnxtO6q0qz7ONZcgAhLkMqdOwgAfThpRs;0.7859814
mp2w57e;2020-03-22;SENTINEL_2;IKc73hpUQ6nnxtO6q0qz7ONZcgAhLkMpDUDXqb52hEq;0.78149205
mp2w57e;2020-03-17;SENTINEL_2;IKc73hpUQ6nlKyRz71OkYTDQP3lBJyRhxqZUFdJE2JY;0.5398954
mp2w57e;2020-03-17;SENTINEL_2;IKc73hpUQ6nlKyRz71OkYTDQP3lBJyRhbrtCfcD3klI;0.5392136
mp2w57e;2020-03-12;SENTINEL_2;IKc73hpUQ6nii154860odWhlFUwIdAUwbamncoJcTHI;0.607467
mp2w57e;2020-03-12;SENTINEL_2;IKc73hpUQ6nii154860odWhlFUwIdAUvXejwsl17ccW;0.6042982
5np36j1;2020-04-26;SENTINEL_2;IKc73hpUQ6o6MWx9U3twc7GU2d5NrDV9LzoxIj1fgyC;1.4282084
5np36j1;2020-04-19;SENTINEL_2;IKc73hpUQ6o2gjlmBvJeQ28bDPJTBIHDhgiePQir312;0.91832834
5np36j1;2020-03-27;SENTINEL_2;IKc73hpUQ6nqaqWWqz11bBDp3K6gCum8LQu5x3EMfRc;0.63521075
5np36j1;2020-03-25;SENTINEL_2;IKc73hpUQ6npXzRm7c0R9nbA4JAmixAzuogNvnsOTFE;0.6366043
5np36j1;2020-03-02;SENTINEL_2;IKc73hpUQ6ndS90WO8OXaohMbEankEAWZz8TVPUe7hU;0.28871992
y3bv51g;2020-04-26;SENTINEL_2;IKc73hpUQ6o6MWx9U3twc7GU2d5NrDVCtmdn6u1KWUm;0.94161505
y3bv51g;2020-04-26;SENTINEL_2;IKc73hpUQ6o6MWx9U3twc7GU2d5NrDVAluY5cnQKpBE;0.9457659
y3bv51g;2020-04-23;SENTINEL_2;IKc73hpUQ6o4mXCyJFndOv569lzbyEIoHXpjFL9ceiS;0.84356487
y3bv51g;2020-04-23;SENTINEL_2;IKc73hpUQ6o4mXCyJFndOv569lzbyEInDbmsVHr7o3g;0.8453941
y3bv51g;2020-04-16;SENTINEL_2;IKc73hpUQ6o16dF6yPiPVJaBJwXa8oO0kD3IV63HrC0;0.6001058
y3bv51g;2020-03-27;SENTINEL_2;IKc73hpUQ6nqaqWWqz11bBDp3K6gCumATIznR9pMMlA;0.51312023
y3bv51g;2020-03-27;SENTINEL_2;IKc73hpUQ6nqaqWWqz11bBDp3K6gCum9PMwwh6WrW6O;0.5135725
